Project Name,Project Link
TEXT SUMMARIZATION WEB APP,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project221.html
Competitive Programming,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project292.html
Write yourself a Git!,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/item223.html
File Compression System,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project224.html
FAST-G,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project225.html
Developing Trading Strategy with Pine Script,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project226.html
Real time Driver Drowsiness detection System,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project227.html
The Image Cartoonifier,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project228.html
Speech to Speech Translation,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project229.html
Competitive Programming - Newbie to Master,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project230.html
Path-Planning of Swarm Robotics in 2/3D space,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project241.html
Image Super Resolution using Deep Neural Networks,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project242.html
Enhance Low Resolution Image using GANs,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project243.html
MyBox,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project244.html
Deep Carlsen,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project245.html
InstiExchange - A web marketplace for IITB,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project246.html
Homomorphic Encryption for k-NN on the Cloud,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project247.html
TRayCer,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project248.html
Social media website with MERN,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project254.html
Dive into Digital Image Processing,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project249.html
Neural Quest,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project250.html
To the Quantum Future,https://itc.gymkhana.iitb.ac.in/wncc/soc/projects/2023/project251.html
