OPTION TYPE,STRIKE PRICE,OPEN INTEREST,VOLUME,LTP
Calls,"20,150.00",4,-,"3,845.25"
Calls,"20,200.00",12,2,"3,910.35"
Calls,"20,250.00",5,1,"3,800.00"
Calls,"20,300.00",5,-,"3,296.20"
Calls,"20,350.00",6,-,"3,238.55"
Calls,"20,400.00",5,-,"3,193.05"
Calls,"20,450.00",5,-,"3,143.25"
Calls,"20,500.00",44,14,"3,593.00"
Calls,"20,550.00",10,-,"3,045.15"
Calls,"20,600.00",7,-,"3,370.00"
Calls,"20,650.00",10,1,"3,422.65"
Calls,"20,700.00",15,3,"3,379.90"
Calls,"20,750.00",14,-,"2,836.55"
Calls,"20,800.00",9,-,"2,786.45"
Calls,"20,850.00",17,-,"2,737.55"
Calls,"20,900.00",18,-,"2,874.80"
Calls,"20,950.00",17,-,"2,824.90"
Calls,"21,000.00",467,411,"3,060.00"
Calls,"21,050.00",18,-,"2,725.20"
Calls,"21,100.00",20,-,"2,754.70"
Calls,"21,150.00",58,-,"2,855.00"
Calls,"21,200.00",62,-,"2,791.00"
Calls,"21,250.00",166,16,"2,883.95"
Calls,"21,300.00",80,-,"2,666.85"
Calls,"21,350.00",95,-,"2,610.00"
Calls,"21,400.00",52,-,"2,600.00"
Calls,"21,450.00",23,4,"2,540.20"
Calls,"21,500.00",330,181,"2,560.00"
Calls,"21,550.00",27,-,"2,228.20"
Calls,"21,600.00",23,-,"2,451.00"
Calls,"21,650.00",25,-,"2,128.60"
Calls,"21,700.00",39,-,"2,312.00"
Calls,"21,750.00",137,-,"2,353.20"
Calls,"21,800.00",92,5,"2,310.00"
Calls,"21,850.00",192,-,"2,221.70"
Calls,"21,900.00",52,-,"2,120.00"
Calls,"21,950.00",27,-,"1,832.10"
Calls,"22,000.00","1,062",595,"2,064.00"
Calls,"22,050.00",32,-,"1,988.00"
Calls,"22,100.00",78,-,"1,930.00"
Calls,"22,150.00",28,2,"2,020.25"
Calls,"22,200.00",272,-,"1,868.30"
Calls,"22,250.00",29,-,"1,726.00"
Calls,"22,300.00",136,10,"1,852.00"
Calls,"22,350.00",28,-,"1,636.95"
Calls,"22,400.00",146,16,"1,700.10"
Calls,"22,450.00",106,-,"1,525.00"
Calls,"22,500.00","4,738","1,238","1,562.20"
Calls,"22,550.00",91,4,"1,525.00"
Calls,"22,600.00",532,45,"1,490.00"
Calls,"22,650.00",72,-,"1,281.15"
Calls,"22,700.00",714,124,"1,382.55"
Calls,"22,750.00",99,2,"1,444.10"
Calls,"22,800.00","1,617",263,"1,271.15"
Calls,"22,850.00",80,-,"1,202.45"
Calls,"22,900.00","1,283",86,"1,168.85"
Calls,"22,950.00",91,62,"1,104.25"
Calls,"23,000.00","15,975","5,158","1,069.25"
Calls,"23,050.00",233,11,"1,020.85"
Calls,"23,100.00","2,208",501,970.00
Calls,"23,150.00",298,162,925.00
Calls,"23,200.00","4,071",948,872.45
Calls,"23,250.00",323,432,832.20
Calls,"23,300.00","5,904","2,160",772.85
Calls,"23,350.00",692,380,725.30
Calls,"23,400.00","7,459","3,720",675.00
Calls,"23,450.00","1,436",975,631.90
Calls,"23,500.00","24,756","29,034",584.00
Calls,"23,550.00","2,493","4,531",533.70
Calls,"23,600.00","13,916","16,127",488.55
Calls,"23,650.00","2,845","5,626",446.35
Calls,"23,700.00","22,041","58,997",402.95
Calls,"23,750.00","3,970","12,598",361.50
Calls,"23,800.00","28,604","1,58,839",320.00
Calls,"23,850.00","10,674","57,972",280.60
Calls,"23,900.00","50,474","3,33,130",247.00
Calls,"23,950.00","24,366","2,55,901",210.05
Calls,"24,000.00","1,63,212","21,91,235",180.00
Puts,"24,050.00","43,773","17,83,795",136.00
Puts,"24,100.00","71,538","38,47,505",159.25
Puts,"24,150.00","29,451","16,71,502",187.90
Puts,"24,200.00","35,653","16,83,335",217.00
Puts,"24,250.00","4,741","2,97,398",251.00
Puts,"24,300.00","12,908","3,74,730",283.10
Puts,"24,350.00","2,328","60,821",322.05
Puts,"24,400.00","4,121","99,737",368.80
Puts,"24,450.00",456,"9,715",407.00
Puts,"24,500.00","13,852","1,30,844",451.15
Puts,"24,550.00",770,"3,889",499.80
Puts,"24,600.00",983,"11,535",542.55
Puts,"24,650.00",354,"3,989",594.45
Puts,"24,700.00",248,"2,228",642.45
Puts,"24,750.00",39,67,690.20
Puts,"24,800.00","2,478","2,650",734.00
Puts,"24,850.00",82,263,785.90
Puts,"24,900.00",68,142,838.20
Puts,"24,950.00",40,5,859.00
Puts,"25,000.00","1,120","6,070",940.10
Puts,"25,050.00",33,-,"1,278.30"
Puts,"25,100.00",35,43,"1,032.10"
Puts,"25,150.00",40,22,997.45
Puts,"25,200.00",62,171,"1,135.90"
Puts,"25,250.00",32,2,"1,076.50"
Puts,"25,300.00",24,-,"1,533.35"
Puts,"25,350.00",-,-,-
Puts,"25,400.00",1,-,"1,443.65"
Puts,"25,450.00",-,-,-
Puts,"25,500.00",562,838,"1,434.05"
Puts,"25,550.00",7,17,"1,485.15"
Puts,"25,600.00",3,2,"1,455.00"
Puts,"25,650.00",-,-,-
Puts,"25,700.00",-,-,-
Puts,"25,750.00",-,-,-
Puts,"25,800.00",-,-,-
